article,views
רפורמת_לוין,239343
יריב_לוין,223906
ישראל,184461
שמחה_רוטמן,184131
בנימין_נתניהו,163726
יעל_אלקנה,155905
ChatGPT,151790
הרצי_הלוי,149248
יואב_גלנט,133435
שלמה_קרעי,132062
הזמר_במסכה_עונה_3,126195
איתמר_בן_גביר,125889
הוועדה_לבחירת_שופטים,125581
רצח_תאיר_ראדה,123608
בצלאל_סמוטריץ',120744
